124	113	154.1666667	240.0909091	224.3333333
180.9	155.0909091	223.4166667	274.8333333	327.25
33.33333333	92.5	57.5	382.5	101.3333333
60	69.75	62.66666667	136.6666667	202.75
48.66666667	60.33333333	49.75	97.25	139.6666667
111.4	98.18181818	118.75	168.8	243.5454545
280.25	296.125	316.7777778	354	458.8888889
62.66666667	61.33333333	95.75	39.66666667	79
223.1	205	235.3636364	303.8	355
148.25	162	161.1666667	243	361.6
650	522.8	629.7142857	915.6666667	1270.4
780.3333333	726.6666667	924	1483.666667	1656.666667
140	104.75	168.2	322	337.3333333
292.6666667	344.3333333	454.3333333	416.3333333	943.5
168.3333333	161.5	339	415.6666667	262.8
290.3333333	270.25	317	548	494
313.25	543	565.6666667	696.75	713
308	328.4285714	379	432.1428571	521.8333333
1723.25	2060	2107	3643.666667	2416.6
285.75	508	364.25	526.25	1142
386.3333333	511.2	558.1666667	549.5	674.5
348.2857143	412.3461538	502.96	694.88	747.56
4091.914286	4137.055556	4823.685714	6175.722222	7706.305556
520	619	547.5	786	1142
643.2352941	489.8095238	699.6666667	1133.25	1298.533333
964.25	972	1220.809524	1408.565217	2286.909091
210.6	234.8	304	428.5	544.8571429
79.75	110.6666667	107.2	283	415
265.7333333	286.5714286	400.8125	415	425.6875
1873.285714	1623	1854.222222	2042.9	2665.5
219.175	311.7	406.8928571	480.75	642.0769231
88.2	171	233	178.8	438
33.33333333	183	223	269	733
105.4	122.8125	130.5625	265.5	235.9444444
134.4	104.3333333	247.25	293	385.1666667
134.8	147	216.8571429	186.6666667	246.25
33.33333333	44.25	116.75	96	54.6
124.2	147	253	544	530.75
114.5	109.5	150.5	219.3333333	300.8571429
57.66666667	51.6	89.6	166.6666667	253
959.75	1120.25	2188	3439.5	4430
2461.857143	3007.714286	4046.571429	4783	6518.5
1871.2	1785.833333	3962.25	2489	7272
2396.833333	2322.714286	2950.142857	3408	4164.25
5154.25	5092	8304.333333	19573	13888.33333
2737	2675.428571	3227	3299.75	6860.4
1500.75	1813.857143	2180.166667	2722	3583.857143
1417	1205.8	1414.5	1211.777778	1276.9
255	278.6363636	305.1666667	386.4615385	596.0769231
20	33.33333333	100	132	217.5
894	614.3333333	545	425.3333333	563
285.8	308.4615385	443.75	511.2	710.1
299.6	316	443	893.3333333	1023.666667
240	278.5714286	361.6666667	704	848.6
50	61.33333333	100	273	841
119.2	192.25	251	445	715
159.6	142.4	225.5	396.3333333	357.5
33.33333333	63.66666667	71	177.5	137
256.6666667	257	375.6666667	664.5	677
215.1666667	194	329.6666667	361.1428571	385
296.6666667	265	244.25	249	240.6666667
292.5	355.75	415.75	407.2	574.4
317.5	306.2	408.5	389.2	543.6
315	409.4	504.8	472.6666667	711.4
84.33333333	116.5	153	128	253
632	1013	855.3333333	1089.333333	1361.333333
227.25	275.75	348	361	520
225.3333333	260.4	264.5	305	426.5
237.5	351.8	378	375.6666667	550.8333333
77	106.6	104.3333333	166.8	346.8
148	443	189.3333333	379.5	604.5
474.5	1182	1250	1019	1263.5
